iter	Passed	Remaining
405	7036	27627
406	7059	27629
407	7076	27612
408	7092	27590
409	7108	27568
410	7126	27550
411	7142	27529
412	7158	27508
413	7174	27486
414	7191	27465
415	7207	27444
416	7224	27423
417	7240	27402
418	7256	27381
419	7273	27360
420	7290	27343
421	7306	27321
422	7323	27303
423	7339	27282
424	7356	27260
425	7372	27239
426	7388	27217
427	7404	27196
428	7421	27175
429	7437	27154
430	7453	27134
431	7469	27113
432	7486	27092
433	7502	27072
434	7519	27051
435	7536	27034
436	7553	27014
437	7569	26995
438	7587	26979
439	7604	26960
440	7621	26943
441	7638	26925
442	7657	26912
443	7673	26893
444	7691	26875
445	7708	26857
446	7726	26842
447	7742	26823
448	7760	26808
449	7777	26788
450	7793	26768
451	7806	26736
452	7823	26718
453	7840	26698
454	7856	26678
455	7873	26657
456	7889	26636
457	7905	26616
458	7921	26596
459	7938	26575
460	7956	26562
461	7973	26545
462	7990	26525
463	8007	26507
464	8045	26559
465	8065	26551
466	8086	26544
467	8107	26538
468	8124	26522
469	8142	26506
470	8159	26489
471	8177	26474
472	8196	26459
473	8213	26443
474	8230	26425
475	8247	26407
476	8265	26389
477	8281	26370
478	8298	26350
479	8315	26331
480	8332	26312
481	8348	26291
482	8364	26270
483	8381	26253
484	8398	26235
485	8415	26215
486	8431	26195
487	8447	26174
488	8464	26153
489	8480	26132
490	8496	26112
491	8512	26091
492	8529	26071
493	8545	26051
494	8561	26030
495	8578	26011
496	8595	25993
497	8613	25978
498	8630	25959
499	8646	25939
500	8663	25920
501	8676	25889
502	8692	25870
503	8708	25850
504	8725	25830
505	8741	25810
506	8758	25791
507	8775	25772
508	8791	25753
509	8809	25737
510	8827	25723
511	8845	25707
512	8863	25692
513	8881	25678
514	8900	25664
515	8917	25647
516	8937	25636
517	8955	25622
518	8975	25611
519	8994	25599
520	9012	25583
521	9029	25567
522	9046	25549
523	9063	25531
524	9080	25510
525	9096	25490
526	9115	25477
527	9134	25467
528	9154	25456
529	9172	25439
530	9188	25418
531	9205	25402
532	9222	25383
533	9239	25364
534	9256	25347
535	9273	25328
536	9290	25310
537	9317	25319
538	9333	25299
539	9350	25281
540	9367	25263
541	9385	25248
542	9402	25230
543	9419	25211
544	9436	25192
545	9453	25174
546	9470	25157
547	9489	25144
548	9506	25126
549	9523	25107
550	9539	25087
551	9555	25067
552	9572	25046
553	9588	25026
554	9607	25013
555	9625	24998
556	9641	24978
557	9658	24959
558	9674	24939
559	9691	24921
560	9708	24903
561	9725	24884
562	9741	24865
563	9757	24844
564	9774	24824
565	9790	24805
566	9807	24786
567	9823	24766
568	9840	24747
569	9856	24728
570	9873	24709
571	9889	24689
572	9906	24671
573	9924	24654
574	9941	24638
575	9957	24618
576	9974	24598
577	9990	24578
578	10007	24561
579	10025	24546
580	10044	24531
581	10062	24515
582	10080	24500
583	10098	24484
584	10118	24473
585	10136	24460
586	10158	24453
587	10180	24447
588	10204	24445
589	10231	24450
590	10251	24440
591	10270	24428
592	10293	24422
593	10316	24418
594	10340	24418
595	10363	24412
596	10382	24400
597	10402	24388
598	10419	24370
599	10436	24351
600	10452	24330
601	10468	24311
602	10485	24291
603	10501	24272
604	10517	24251
605	10535	24235
606	10552	24217
607	10569	24197
608	10585	24177
609	10601	24158
610	10618	24138
611	10634	24118
612	10651	24101
613	10670	24087
614	10688	24071
615	10706	24055
616	10724	24038
617	10742	24023
618	10760	24007
619	10782	24000
620	10802	23987
621	10820	23971
622	10839	23958
623	10858	23944
624	10877	23930
625	10894	23913
626	10913	23897
627	10931	23883
628	10949	23866
629	10969	23853
630	10986	23835
631	11005	23821
632	11022	23804
633	11041	23790
634	11059	23773
635	11077	23758
636	11096	23742
637	11118	23735
638	11138	23724
639	11161	23718
640	11179	23701
641	11195	23681
642	11212	23662
643	11229	23644
644	11245	23625
645	11262	23606
646	11280	23589
647	11296	23569
648	11313	23551
649	11330	23533
650	11347	23513
651	11363	23494
652	11380	23476
653	11396	23456
654	11413	23436
655	11430	23418
656	11447	23399
657	11463	23380
658	11481	23362
659	11499	23347
660	11515	23328
661	11533	23310
662	11550	23291
663	11567	23273
664	11583	23254
665	11603	23242
666	11620	23224
667	11637	23204
668	11657	23192
669	11676	23179
670	11693	23160
671	11712	23145
672	11731	23131
673	11747	23112
674	11764	23092
675	11780	23072
676	11797	23054
677	11810	23028
678	11829	23014
679	11845	22994
680	11862	22975
681	11878	22956
682	11895	22936
683	11911	22918
684	11928	22898
685	11944	22879
686	11963	22864
687	11979	22845
688	11996	22825
689	12008	22798
690	12024	22778
691	12042	22761
692	12059	22743
693	12075	22724
694	12091	22704
695	12108	22685
696	12124	22665
697	12142	22650
698	12165	22643
699	12188	22635
700	12209	22624
701	12227	22609
702	12245	22592
703	12262	22574
704	12280	22557
705	12296	22538
706	12313	22520
707	12330	22501
708	12346	22482
709	12363	22463
710	12380	22445
711	12398	22428
712	12415	22410
713	12432	22393
714	12449	22374
715	12466	22356
716	12481	22333
717	12498	22315
718	12514	22296
719	12530	22276
720	12546	22257
721	12563	22237
722	12579	22218
723	12595	22199
724	12612	22179
725	12628	22160
726	12644	22141
727	12660	22121
728	12676	22101
729	12694	22084
730	12712	22068
731	12728	22049
732	12745	22030
733	12763	22013
734	12779	21995
735	12797	21977
736	12813	21958
737	12829	21939
738	12847	21922
739	12864	21904
740	12883	21890
741	12900	21871
742	12918	21854
743	12934	21836
744	12951	21818
745	12968	21799
746	12985	21782
747	13002	21763
748	13019	21745
749	13039	21733
750	13058	21718
751	13077	21702
752	13096	21687
753	13114	21671
754	13133	21657
755	13151	21641
756	13168	21623
757	13186	21607
758	13203	21588
759	13223	21575
760	13244	21563
761	13267	21555
762	13285	21538
763	13302	21520
764	13319	21502
765	13338	21488
766	13358	21474
767	13374	21455
768	13390	21435
769	13407	21416
770	13423	21397
771	13442	21381
772	13459	21364
773	13478	21348
774	13495	21331
775	13512	21314
776	13530	21296
777	13546	21278
778	13563	21259
779	13581	21243
780	13599	21225
781	13615	21206
782	13631	21187
783	13648	21169
784	13664	21150
785	13681	21130
786	13697	21111
787	13713	21091
788	13729	21072
789	13746	21054
790	13759	21030
791	13776	21012
792	13795	20997
793	13812	20979
794	13829	20962
795	13854	20955
796	13872	20938
797	13888	20920
798	13907	20904
799	13924	20886
800	13941	20868
801	13957	20849
802	13974	20831
803	13991	20812
804	14007	20793
805	14026	20778
806	14045	20763
807	14063	20746
808	14083	20733
809	14101	20716
810	14119	20700
811	14171	20733
812	14200	20733
813	14233	20738
814	14266	20742
815	14304	20755
816	14329	20748
817	14368	20761
818	14397	20761
819	14419	20749
820	14440	20737
821	14461	20724
822	14491	20724
823	14516	20718
824	14542	20712
825	14561	20695
826	14584	20686
827	14610	20680
828	14631	20667
829	14650	20651
830	14670	20637
831	14690	20623
832	14710	20609
833	14729	20592
834	14747	20575
835	14766	20559
836	14787	20547
837	14807	20532
838	14826	20517
